month,ingredient
1,우엉 딸기 꼬막 더덕 삼치 명태 아귀 도미 과메기 한라봉
2,우엉 바지락 딸기 꼬막 더덕 삼치 아귀 도미 한라봉
3,달래 우엉 냉이 바지락 딸기 꼬막 더덕 취나물 쑥 도미 소라 씀바귀 한라봉
4,달래 냉이 바지락 딸기 두릅 더덕 주꾸미 취나물 키조개 참다랑어 소라 씀바귀 미더덕
5,딸기 두릅 취나물 장어 매실 키조개 멍게 다슬기 참다랑어 소라
6,감자 장어 매실 참외 다슬기 참다랑어 복분자 소라
7,옥수수 토마토 감자 블루베리 도라지 수박 복숭아 갈치 참외 복분자
8,옥수수 토마토 전복 감자 고구마 블루베리 포도 도라지 수박 복숭아 참나물 갈치 참외 복분자 자두
9,옥수수 굴 게 토마토 고등어 전복 감자 고구마 대하 블루베리 배 참나물 귤 갈치 석류 은행 광어
10,굴 사과 게 홍합 고등어 전복 고구마 무 꽁치 늙은호박 대하 삼치 배 귤 갈치 석류 광어 해삼
11,굴 사과 홍합 꼬막 배추 고등어 무 꽁치 늙은호박 대하 삼치 유자 배 귤 석류 도미 가리비 광어 해삼 과메기
12,굴 사과 홍합 꼬막 배추 무 늙은호박 대하 삼치 유자 명태 아귀 귤 석류 도미 가리비 광어  과메기 한라봉
