month,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
1,-0.0008909069,-0.007963547,8.425582e-05,0.00551022,0.0002193449,-0.0049671996,0.005668144,0.0045756483,-0.004029015,-0.0062066712,-0.0022821156,-0.00591349,-0.00028384553,0.00010233112,-0.0021566835,0.004435466,0.0028169495,0.002671951,-0.001988114,-0.0032022954,0.0010028209,0.0024043128,0.0044533787,0.0013356912,0.0059424024,-0.0022219154,-0.008360265,0.0067726136,-0.002924094,-0.00011462285,0.0029766723,-0.0027458756,0.005339677,-0.0018932574,-0.002589974,-0.0040316186,0.004826901,-0.003143642,0.0018615455,0.0019478565,0.0006131894,0.0029425337,-0.003921807,-0.0033705705,0.001868203,0.004863579,0.0006654912,-0.0016667265,0.0025149533,0.005172363
2,-0.0050703716,-0.0070610065,0.0036753109,0.0048858323,-0.003329985,-0.0017731641,0.0032124077,0.003740697,-0.004136396,-0.002538546,0.0019370203,-0.0053831004,-0.0037120422,0.0002838129,-0.0012593674,0.0063451496,0.0014661876,0.0018937372,-0.0024031103,-0.006777644,0.0025138487,0.0039875996,0.0054996666,0.00059371,0.0060034,-0.000115775816,-0.0039643785,0.0064777876,-0.0024088048,-0.0006964874,-3.8055703e-05,-0.0013757334,0.0032802252,-0.0016429859,-0.0038594673,-0.004545129,0.005662821,-0.0009652666,0.0029037073,0.0027669286,0.0027426744,0.0033540633,-0.008492119,-0.0034538908,0.00039851354,0.0028911298,0.0011359722,-0.0044856863,0.00027922748,0.0066083446
3,-0.0034165469,0.00038039155,0.004600984,0.0031643258,0.0008280353,0.0029284214,0.006948881,0.0011050393,-0.005743924,0.003802581,-0.000818743,-0.002084678,0.0013382911,-0.0015243869,-0.00013874807,-0.0011090265,0.00039121293,0.0006635249,-9.262404e-05,-0.007971022,0.0040241573,-0.00036944973,0.006697106,0.0025732166,0.0014647858,0.0006690745,-0.0017692349,0.002862076,5.9908757e-06,0.0010482667,-0.0005711367,0.0003463376,0.0037475121,-0.002354536,0.0015803627,-0.0028485244,-8.522662e-05,5.5950995e-06,0.0027641812,-0.002531083,0.0030720457,0.0008373811,-0.0033033176,-0.00041894408,0.0015269897,-0.002068465,0.0011036578,-0.005551393,-2.9927549e-05,0.0004560213
4,-0.0009456659,0.00543506,0.0031844506,0.0040792776,-0.00048201423,-0.0021526683,0.0028943466,0.00064383267,-0.006562375,-0.0010506248,-0.0015737754,-0.0035954963,0.0033120466,0.0028215374,-0.0005670078,-0.0008980474,-0.0027016927,0.0003239227,-0.0011675971,-0.0060679764,0.0044693756,0.0015997142,0.0021632658,-0.00033425153,0.0027300469,-0.0028888697,0.00064102904,0.0019510424,0.0022269036,0.00076811446,-0.0017708468,-0.0001573828,0.0010973413,-0.00028465234,0.0045599123,-0.0029357763,0.0014493477,0.0020841088,0.003171523,-8.347945e-06,0.0030783922,-0.0021585561,-0.002674753,-0.0012310918,-0.00022701321,-0.004271642,-0.0010877161,0.002483616,0.00028858377,-0.001032856
5,-0.0015574691,0.0040354286,-0.0016579243,0.0088765025,-0.0019856612,-0.0022389793,0.0006270811,0.002011133,-0.004058644,-0.0013714979,-0.004277072,-0.0011139892,0.000627641,0.0076306267,0.001984091,0.00074877974,-0.0018088503,-0.0045445426,0.0035005114,0.00044691423,0.0043812534,0.0044213184,0.0025698026,-0.0036632926,0.0016869537,-0.00020706514,-0.0026826388,0.0026508044,0.00065376144,0.001976296,-0.0011558619,-0.0027717086,0.0014928455,-0.0012587579,-0.0020188675,-0.0018289054,0.0034418968,0.0026876957,-0.0033803065,0.003812018,0.0020608094,0.00031775347,-0.0071602017,-0.0031353286,-0.0005958967,-0.0073114233,-0.003983806,0.004241241,0.0028146957,0.005473199
6,-0.00022718229,0.0018192297,-0.0006281829,0.0011153456,-0.0012762714,0.00047010428,-0.0040121083,0.0033375192,0.0043955436,-0.003140624,-0.00498741,0.0018258294,0.004056045,0.002856386,0.002175575,0.0028761714,0.0005163694,-0.009820469,0.0044082724,-0.0006601909,0.001633332,0.0020177932,0.0032389655,-0.001614756,-0.0060755173,0.005638307,0.0025301496,-0.00086534023,0.0028215453,0.0056337654,0.0027766926,0.0014111921,0.0024922919,0.0007047262,0.0010703543,0.0006703546,0.0001589777,0.0037813853,-0.0033587052,0.00931135,0.0042477194,0.0012713932,-0.0034193604,0.0031426053,0.0021156128,-0.007391619,0.0022736872,-0.00023681446,0.0019371789,0.0016343859
7,0.00092705357,-0.00010676884,0.0031405955,-0.00030780683,-0.0029282602,-0.0010549545,-0.002717188,0.0040682456,-0.000843176,-0.005320156,0.0016107142,0.0042057643,0.004611796,-0.0027400795,-0.003110034,0.004246711,0.0018794726,0.00090144004,-0.0051185284,-0.004288799,-0.0011913966,0.0030159918,0.00531786,0.00056804734,-0.0058628856,0.001362094,-0.0012109104,-0.0002843445,0.00034154803,0.0033997863,-0.0015321207,-0.0016167717,-0.00445124,-0.0021791314,0.0010223042,0.006721673,0.00030440502,-0.0022645942,-0.0034387163,-0.0016192216,0.007547724,-0.002496475,0.0003635369,0.007308946,0.0001729263,-0.0041496726,-0.000581789,-0.0040649767,-0.0022364922,-0.0006866283
8,0.0006817652,0.0006109449,0.0012222624,-0.0019521432,1.6590704e-05,-0.0016022093,0.0008754213,0.0025165905,-0.0007352713,-0.0039739017,0.003276598,0.0011396835,0.0032165414,-0.00025898227,-0.0026011674,0.002511686,0.0055924575,-0.00024811644,-0.0051480304,-0.004238039,-0.0024681096,0.0033580603,0.0009789529,0.0018164136,-0.0037099326,0.0021106957,-0.00153536,0.0003221145,0.0014961882,-0.00047551992,-0.00046146935,-0.0011093864,-0.003661337,-0.0018164559,0.0011292457,0.0015775205,0.003973933,-0.0005598591,0.00038048692,-0.0003965018,0.004499773,-0.0020327226,0.0023588666,0.0041771545,0.00031650718,-0.0027678502,-0.0010829268,-0.0020121776,-0.0011071998,0.0010802925
9,0.0025852297,0.0029806946,-0.001805895,-0.002490389,-0.0056624706,-0.0026587406,0.0022979423,0.0016933067,-0.0045655696,-0.004666143,0.002636148,0.00023576508,0.0029101786,-0.0011131649,-0.0020007968,0.002001965,0.008328235,0.005141306,-0.0046051233,-0.004902325,-0.00043023174,0.0016488063,0.0016435479,0.0035687992,-0.0020634888,0.0034735107,-0.0006649499,0.004486335,0.00027557975,-0.0011208014,0.00041563145,-0.0012151203,9.670641e-05,-0.0026506807,-0.002805261,0.0007982175,0.0051609,-0.0012069815,-0.0035077026,-3.23914e-06,0.0019068087,-0.000854158,0.0036370591,0.0009058839,0.007865853,-0.0005748401,0.0007594223,-0.004599743,-0.00021877221,-0.0005592472
10,1.7089562e-05,0.0009699686,-0.00096445554,-0.0040062983,-0.0024942101,-0.0004815514,0.002732168,0.0017746008,-0.00043703025,-0.0011519566,-0.0012608689,-0.005106676,0.0010581414,0.0015196146,-0.0007489324,0.0031282892,0.0049858093,0.0048460085,-0.0031981198,-0.004172773,0.00013244612,0.0018039981,0.002656479,-0.00052189524,0.0010324882,0.006143764,0.0022086864,0.00024278695,-0.001091931,-0.00030714122,-0.002771569,-0.003807685,0.0010544044,-0.001757349,-0.0037477931,0.0025455328,0.005025481,-3.6339534e-05,-0.0019075772,-0.0024774303,0.0036935087,-0.0013157215,0.0006650133,0.0024089718,0.0031739676,0.0011154092,0.0008983684,-0.0010600957,0.0018655253,0.0028635217
11,9.619071e-05,0.00050167006,-0.0015163597,-0.0008771846,0.0006572519,8.323086e-05,0.0021074049,0.0018683817,0.0010274447,0.00200579,-0.0019075722,-0.005360795,0.0021144147,0.0028087827,0.0007363755,0.0031486494,0.00339844,0.004257531,-0.006249404,-0.0011271645,-0.0020062986,0.00051735557,0.002991402,1.8734578e-05,0.000623768,0.0019305216,0.0007336236,7.7353325e-05,-0.0030565765,-0.001378925,-0.0013499056,-0.0018101294,0.0019615297,0.0011582726,-0.002624618,0.0017002181,0.0029240723,-0.001665898,-0.0014820608,-0.0008693052,0.0009581307,-0.0027225353,0.0012292631,0.0008500397,0.004098176,0.00010318542,-0.00052445976,-0.0014490638,0.003375919,0.002189933
12,0.0030314692,-0.0035952101,-0.0008585118,0.00062948663,0.0017012105,-0.001541869,0.0031833593,0.0033073793,-0.0007450513,0.00016224831,-0.00044452096,-0.0054423744,0.0038847618,0.003319505,0.00090861926,0.003439987,0.004139626,0.0045080013,-0.004787489,-0.001190934,-0.00087024225,-0.00081519893,0.0033731058,0.00015305654,0.0032070845,0.00074769644,-0.0009893026,0.002422947,-0.0027933698,-0.0021735677,0.0019287269,-0.0014238867,0.0011065701,0.0005906373,-0.0035216287,1.986717e-05,0.003878425,0.0011492189,0.00033555125,-0.00039596166,0.0014933586,-0.0020742978,0.0015213735,-0.0022775321,0.0057498734,0.0020293084,0.00065874495,-0.00058281433,0.003543404,0.0022706797
